business_date,pricing_model,is_flagged_quality_row,data_quality_flag_type,target_rooms_sold,property_total_rooms,forecast_rooms_sold,forecast_occupancy_rate,demand_band,pricing_reference_adr,pricing_adjustment_rate,recommended_adr,historical_adr_net,recommended_vs_reference_adr_delta,recommended_vs_historical_adr_delta,historical_room_revenue_net,simulated_revenue_at_actual_rooms,forecast_revenue_at_recommended_adr,simulated_revenue_delta_at_actual_rooms,data_quality_review_note
2025-11-07,xgboost,0,,60,60,54.48130798339844,0.9080217997233073,very_high,194.25,0.12,217.56,194.247,23.31,23.31,11654.82,13053.6,11852.95,1398.78,
2025-11-08,xgboost,0,,60,60,59.496543884277344,0.9916090647379557,very_high,197.47,0.12,221.17,197.4707,23.7,23.7,11848.24,13270.2,13158.85,1421.96,
2025-11-09,xgboost,0,,32,60,31.50858497619629,0.5251430829366048,moderately_low,140.56,-0.04,134.94,140.5628,-5.62,-5.62,4498.01,4318.08,4251.77,-179.93,
2025-11-10,xgboost,0,,35,60,34.12455368041992,0.5687425613403321,moderately_low,107.42,-0.04,103.12,107.4151,-4.3,-4.3,3759.53,3609.2,3518.92,-150.33,
2025-11-11,xgboost,0,,29,60,34.52622604370117,0.5754371007283529,moderately_low,90.55,-0.04,86.93,90.5514,-3.62,-3.62,2625.99,2520.97,3001.36,-105.02,
2025-11-12,xgboost,0,,29,60,32.44827651977539,0.5408046086629231,moderately_low,99.95,-0.04,95.95,99.9455,-4.0,-4.0,2898.42,2782.55,3113.41,-115.87,
2025-11-13,xgboost,0,,25,60,37.473838806152344,0.6245639801025391,neutral,122.96,0.0,122.96,122.958,0.0,0.0,3073.95,3074.0,4607.78,0.05,
2025-11-14,xgboost,0,,54,60,53.27667236328125,0.8879445393880209,high,148.14,0.08,159.99,148.1357,11.85,11.85,7999.33,8639.46,8523.73,640.13,
2025-11-15,xgboost,0,,59,60,60.0,1.0,very_high,166.05,0.12,185.98,166.0453,19.93,19.93,9796.67,10972.82,11158.8,1176.15,
2025-11-16,xgboost,0,,19,60,32.74501037597656,0.5457501729329427,moderately_low,138.23,-0.04,132.7,138.2311,-5.53,-5.53,2626.39,2521.3,4345.26,-105.09,
2025-11-17,xgboost,0,,11,60,31.534454345703125,0.5255742390950521,moderately_low,119.95,-0.04,115.15,119.9545,-4.8,-4.8,1319.5,1266.65,3631.19,-52.85,
2025-11-18,xgboost,0,,16,60,27.16987037658691,0.4528311729431152,low,112.87,-0.08,103.84,112.8675,-9.03,-9.03,1805.88,1661.44,2821.32,-144.44,
2025-11-19,xgboost,0,,27,60,29.062822341918945,0.4843803723653158,low,130.37,-0.08,119.94,130.3656,-10.43,-10.43,3519.87,3238.38,3485.79,-281.49,
2025-11-20,xgboost,0,,26,60,40.43079376220703,0.6738465627034506,neutral,116.48,0.0,116.48,116.4773,0.0,0.0,3028.41,3028.48,4709.38,0.07,
2025-11-21,xgboost,0,,58,60,53.88005828857422,0.898000971476237,high,148.88,0.08,160.79,148.8826,11.91,11.91,8635.19,9325.82,8663.37,690.63,
2025-11-22,xgboost,0,,58,60,60.0,1.0,very_high,161.24,0.12,180.59,161.2433,19.35,19.35,9352.11,10474.22,10835.4,1122.11,
2025-11-23,xgboost,0,,27,60,30.728355407714844,0.5121392567952474,moderately_low,120.85,-0.04,116.02,120.8522,-4.83,-4.83,3263.01,3132.54,3565.1,-130.47,
2025-11-24,xgboost,0,,30,60,36.75786209106445,0.6126310348510742,neutral,106.82,0.0,106.82,106.8233,0.0,-0.0,3204.7,3204.6,3926.47,-0.1,
2025-11-25,xgboost,0,,28,60,35.20008850097656,0.5866681416829427,moderately_low,113.77,-0.04,109.22,113.7704,-4.55,-4.55,3185.57,3058.16,3844.55,-127.41,
